DirectionFrom,DirectionTo,Distance,ETARouteName,LastTrackdt,Odometer,PrevTrackDt,RouteNo,Speed,VehId,VehNo,location.coordinates,location.type,routeflag
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:10:11.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968781,19.26725]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:11:11.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968781,19.26725]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:12:11.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968781,19.26725]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:13:11.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.267223]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:14:12.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.267223]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:15:12.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.267223]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:03:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968758,19.267187]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:04:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968758,19.267187]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:05:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968758,19.267187]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:06:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968758,19.267187]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:07:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968758,19.267187]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:08:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968704,19.267298]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:09:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968704,19.267298]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:10:35.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968704,19.267298]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:12:35.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968689,19.267282]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:13:35.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968689,19.267282]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:14:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968689,19.267282]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:15:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968689,19.267282]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:16:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968689,19.267282]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:17:34.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.96875,19.26726]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:18:35.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.96875,19.26726]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:19:35.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.96875,19.26726]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:20:35.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.96875,19.26726]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T02:21:35.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.96875,19.26726]",Point,true
मिरारोड स्टे.,लोकमान्यनगर,0,मिरारोड स्टे. - लोकमान्यनगर,2022-09-25T10:46:09.000Z,10075.166,2022-09-24T11:02:35.000Z,23,13,101,MH04-HY-1753,"[72.976974,19.190687]",Point,true
मिरारोड स्टे.,लोकमान्यनगर,0,मिरारोड स्टे. - लोकमान्यनगर,2022-09-25T10:47:09.000Z,10075.166,2022-09-24T11:02:35.000Z,23,13,101,MH04-HY-1753,"[72.977173,19.188505]",Point,true
