LastTrackdt,location.coordinates,location.type
2022-09-25T01:12:52.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:13:02.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:13:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:13:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:13:42.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:13:52.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:14:02.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:14:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:14:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:14:32.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:14:42.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:14:52.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:15:02.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:15:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:15:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T02:04:25.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:04:35.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:04:45.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:04:55.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:05:05.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:05:15.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:05:25.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:05:35.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:05:45.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:05:55.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:06:06.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:06:15.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:06:25.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:06:35.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:06:45.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:06:55.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:07:06.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:07:16.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:07:25.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:07:35.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:07:45.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:07:55.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:08:06.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:08:16.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:08:25.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:08:35.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:08:45.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:08:55.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:09:06.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:09:16.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:09:25.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:09:35.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:09:45.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:09:55.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:10:06.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:10:16.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:10:25.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:10:35.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:10:45.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:10:56.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:11:06.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:11:16.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:11:25.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:11:35.000Z,"[72.969826,19.265505]",Point
2022-09-25T02:11:45.000Z,"[72.969826,19.265505]",Point
